colorcontrast(rgb),colorcontrast(hsv),intensityContrast,i1,i2,tcontrast,tenergy,thomogeneity,tcorrelation,edgesG,result
151.992,49,0.241522,0.60788,0.366359,0.60696,0.113435,0.765916,0.736755,50501.5,4.5739
267.462,17,0.431018,0.696395,0.265377,0.507109,0.0783364,0.826022,0.920066,136281,6.2135
327.379,3,0.664627,0.156672,0.821299,0.0674761,0.271513,0.969166,0.99318,54621.9,4.2984
320.464,93,0.0693113,0.888959,0.95827,0.0328052,0.386063,0.987326,0.987423,16328.4,6.056
472.507,103,0.579736,0.865839,0.286104,0.195057,0.161064,0.945926,0.984501,272177,4.6068
531.589,111,0.613233,0.954785,0.341552,0.109596,0.230217,0.955232,0.992586,527620,5.364
441.321,5,0.570471,0.945296,0.374825,0.259292,0.618162,0.948463,0.964172,103020,6.2763
253.747,16,0.573459,0.227257,0.800716,0.194539,0.296778,0.949188,0.951625,87120.9,5.5417
395.661,10,0.498086,0.790143,0.292058,0.615028,0.116918,0.846791,0.937158,940462,6.3168
270.729,108,0.24341,0.696744,0.940154,0.130972,0.252032,0.943277,0.962451,135074,4.8827
303.346,1,0.558975,0.0612229,0.620197,0.0539431,0.426727,0.976879,0.991466,699216,5.6
456.828,2,0.548133,0.899236,0.351103,0.429239,0.112297,0.891401,0.968914,87657.4,5.9026
343.552,2,0.260099,0.720876,0.980976,0.225147,0.134709,0.917674,0.967796,331020,4.3947
291.207,0,0.415836,0.28935,0.705186,0.617658,0.0837123,0.790166,0.901476,86986.9,4.8486
125.647,0,0.171713,0.467519,0.639233,0.1188,0.293054,0.953218,0.928837,445213,5.4362
254.266,4,0.524036,0.360702,0.884738,0.244355,0.203958,0.947909,0.970201,10212.4,5.1053
304.05,13,0.344796,0.361301,0.706097,0.267077,0.151284,0.940119,0.953475,554227,5.9895
224.243,4,0.388314,0.715498,0.327184,0.316773,0.151876,0.901672,0.936529,176808,5.2
264.814,7,0.396192,0.330213,0.726405,0.110312,0.170933,0.956548,0.977868,418224,5.8446
462.417,15,0.498539,0.98172,0.483181,0.22587,0.239108,0.9442,0.979126,844060,5.2083
248.608,95,0.221874,0.560957,0.339084,0.420678,0.143352,0.850806,0.86501,105377,4.779
434.633,71,0.370567,0.389642,0.760209,0.208247,0.19665,0.938376,0.973602,219371,6.0246
416.723,104,0.0886106,0.888949,0.800339,0.0792239,0.330631,0.967049,0.983705,47300.2,5.2792
217.501,86,0.218257,0.707765,0.926022,0.0506555,0.579133,0.981308,0.917798,127802,4.8761
515.229,30,0.120608,0.875997,0.996605,0.195491,0.354894,0.950542,0.98531,172655,5.8805
253.039,101,0.461424,0.660334,0.19891,0.38289,0.140233,0.853431,0.928606,196419,4.3934
218.721,3,0.337466,0.595679,0.258213,0.177968,0.140689,0.924562,0.957387,309237,5.1875
498.726,91,0.402285,0.569613,0.971897,0.121468,0.255987,0.962177,0.988124,516567,6.0061
162.932,10,0.135257,0.365729,0.500986,0.101954,0.471134,0.950532,0.922731,38804.2,5.2882
317.514,3,0.111273,0.993116,0.881843,0.0562117,0.250602,0.973707,0.983018,323108,5.4609
317.557,3,0.111304,0.881864,0.993167,0.0562117,0.250602,0.973707,0.983018,323108,5.4609
208.161,40,0.0669059,0.85861,0.925516,0.0266999,0.305259,0.986763,0.98417,232318,5.6818
208.466,40,0.0668952,0.925531,0.858636,0.0266999,0.305259,0.986763,0.98417,232318,5.6818
269.788,24,0.20233,0.985819,0.783489,0.590223,0.124634,0.7984,0.881949,93928.7,5.3447
270.231,2,0.376027,0.322429,0.698456,0.190509,0.120752,0.921666,0.967416,311037,5.9854
172.827,1,0.293084,0.431065,0.724149,0.351414,0.134508,0.844136,0.888075,99272.5,5.3143
222.014,1,0.263188,0.713886,0.977074,0.0406417,0.210727,0.981039,0.988241,354863,5.4535
210.445,55,0.549341,0.669893,0.120552,0.0532703,0.308265,0.978127,0.985349,226637,5.5652
268.01,14,0.560644,0.665636,0.104992,0.0868371,0.410987,0.963387,0.988128,18925,4.6899
215.336,0,0.269766,0.195454,0.46522,0.352927,0.115727,0.851399,0.900687,131782,5.7236
493.665,77,0.665945,0.29714,0.963085,0.111581,0.756085,0.976864,0.977414,71765.8,5.1152
176.173,0,0.214547,0.450676,0.665222,0.111719,0.247087,0.982395,0.954822,452779,5.6409
256.169,75,0.551627,0.194681,0.746307,0.10474,0.223431,0.954001,0.980699,141622,4.6312
133.887,5,0.140517,0.819383,0.9599,0.0944335,0.298318,0.955598,0.944129,191933,5.3194
277.287,20,0.778158,0.837539,0.0593804,0.102883,0.417485,0.959459,0.977623,7938.57,5.4966
301.758,18,0.23978,0.609668,0.849449,0.185098,0.112819,0.923081,0.974459,489300,5.1655
386.873,69,0.353935,0.508558,0.862494,0.383295,0.167484,0.950965,0.954107,1063950,5.5649
367.023,7,0.3363,0.829977,0.493677,0.130719,0.326337,0.951205,0.963474,47851.6,5.6379
424.651,15,0.487607,0.294522,0.782129,0.158965,0.139753,0.954799,0.981739,222116,5.6322
284.156,76,0.446334,0.160363,0.606696,0.0778157,0.236678,0.968047,0.982362,85024.9,5.5935
330.266,0,0.42162,0.765391,0.343771,0.223114,0.158737,0.914768,0.965905,396963,6.3391
157.897,3,0.255232,0.189569,0.444801,0.230942,0.156739,0.889788,0.92043,453747,6.0057
389.591,74,0.773416,0.811044,0.0376282,0.0288025,0.697278,0.988935,0.99494,12495.4,5.1118
165.293,88,0.167448,0.706386,0.538938,0.230226,0.380023,0.942823,0.890388,144347,5.5929
542.152,65,0.728823,0.97133,0.242507,0.258618,0.286399,0.941202,0.8904,156077,4.5602
441.525,80,0.352152,0.888961,0.536808,0.23401,0.189563,0.952817,0.96627,388962,6.0899
298.759,30,0.382104,0.977462,0.595358,0.220963,0.205881,0.923695,0.979641,20474.2,5.5704
307.722,88,0.205278,0.722719,0.517441,0.0511101,0.743264,0.984323,0.980899,65810.7,5.1259
286.432,87,0.544679,0.8574,0.31272,0.113484,0.524321,0.964876,0.94178,37924.7,5.4173
385.835,109,0.462709,0.826378,0.363669,0.515856,0.0732018,0.827076,0.946322,407872,5.9459
499.222,34,0.788905,0.0610399,0.849945,0.959157,0.401807,0.885184,0.923345,676906,5.0152
181.432,5,0.280514,0.356442,0.636956,0.118353,0.215722,0.950463,0.969961,331273,5.5647
254.749,27,0.293335,0.410854,0.704189,0.111156,0.295456,0.956583,0.95409,93042,5.6587
234.812,6,0.293311,0.519749,0.81306,0.154329,0.159605,0.950028,0.963631,137930,5.0116
339.025,4,0.0133242,0.926487,0.913163,0.0394171,0.229724,0.982709,0.992576,166077,5.9197
220.313,5,0.354306,0.792094,0.437788,0.112856,0.170069,0.950215,0.97244,182329,5.6276
549.707,90,0.708991,0.199344,0.908335,0.0430371,0.545038,0.985439,0.990693,128623,5.5856
729.074,15,0.952852,0.999877,0.0470246,0.170706,0.77618,0.986833,0.982464,88800,5.4265
350.012,5,0.602782,0.821386,0.218604,0.124408,0.270554,0.95187,0.983609,25224.1,5.9487
375.804,13,0.619283,0.853456,0.234172,0.160774,0.167999,0.929646,0.983291,376152,5.4078
299.931,84,0.0549709,0.632753,0.687724,0.116573,0.420831,0.965677,0.955466,127717,6.9139
190.64,15,0.327938,0.357246,0.685185,0.083292,0.400654,0.967389,0.943787,8645.56,6.9076
